Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,224511226,2880.3651743334312,3764498,48.29660026910126,330815,4627540,59.36899145896128,59057,0.7576713607212218,6335,
United States of America,Americas,40675578,12288.6,939266,283.76,0,653099,197.31,9748,2.94,0
India,South-East Asia,33264175,2410.44,236554,17.14,27254,442874,32.09,2122,0.15,219
Brazil,Americas,20989164,9874.49,111300,52.36,14314,586558,275.95,3196,1.5,712
The United Kingdom,Europe,7226280,10644.73,248150,365.54,28614,134200,197.68,971,1.43,56
Russian Federation,Europe,7158248,4905.11,127793,87.57,18178,193468,132.57,5478,3.75,719
France,Europe,6702450,10305.22,64885,99.76,7684,113566,174.61,525,0.81,29
Turkey,Europe,6658251,7894.62,160197,189.94,21352,59886,71.01,1780,2.11,243
Iran (Islamic Republic of),Eastern Mediterranean,5295786,6305.04,166379,198.09,20219,114311,136.1,3637,4.33,487
Argentina,Americas,5224534,11559.78,22129,48.96,930,113402,250.91,958,2.12,46
Colombia,Americas,4928578,9686.12,11598,22.79,1806,125592,246.83,362,0.71,63
Spain,Europe,4903021,10358.65,12185,25.74,0,85218,180.04,116,0.25,0
Italy,Europe,4606413,7723.5,34973,58.64,4664,129919,217.83,404,0.68,34
Indonesia,South-East Asia,4167511,1523.64,34078,12.46,0,138889,50.78,2416,0.88,0
Germany,Europe,4083151,4909.6,72761,87.49,5511,92618,111.36,264,0.32,12
Mexico,Americas,3506743,2719.82,85863,66.6,12511,267524,207.49,4656,3.61,675
Poland,Europe,2893919,7623.98,3253,8.57,270,75425,198.71,46,0.12,0
South Africa,Africa,2858195,4819.18,38250,64.49,3961,84877,143.11,1458,2.46,126
